"","id","photoURL","lat","long","rubbishRunID","userName","rubbishType","reportedTimeStamp","city","totalNumberOfItemsTagged","datetime","date","X","Y","OBJECTID","Mile","Section_Name","FolderPath","Region","geometry","dist_m"
"1","x85t5P03iIF7zapu8rbf","StreetRubbishPhotos/x85t5P03iIF7zapu8rbf.jpg","35.7730425587794","-118.029927461661","2NOKXdKm9VVgLDwrjzqU","macygustavus","soft plastic",1684339644.58254,"Onyx","1",2023-05-17 16:07:24,2023-05-17,-118.0298149,35.7687347,5099,670,"CA Section G Mile Marker","Mile Marker/2 - Central California/CA Section G","Central California Mile Marker",c(-118.029927461661, 35.7730425587794),479.120428095445
"2","jSp6ILqUCVGRFvsTSE3f","StreetRubbishPhotos/jSp6ILqUCVGRFvsTSE3f.jpg","35.7104390344456","-117.987773875619","e6cehykZtqfZuz4ZN40K","macygustavus","sanitary waste",1684285355.28924,"Onyx","1",2023-05-17 01:02:35,2023-05-17,-117.988072146,35.7104806930001,3378,660,"CA Section G Mile Marker","Mile Marker/2 - Central California/CA Section G","Central California Mile Marker",c(-117.987773875619, 35.7104390344456),27.3256828486737
"3","aSkYsm6B6zsAvJXKDXxO","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaSkYsm6B6zsAvJXKDXxO.jpg?alt=media&token=4033dc87-95e6-432e-b9d3-e9eda8834822","35.5354175783738","-118.132712833495","4KEoCfXNQDLJrBWkvhP0","macygustavus","metal",1684109698.80569,"Weldon","1",2023-05-15 00:14:58,2023-05-15,-118.1322104,35.5348157,2789,630,"CA Section F Mile Marker","Mile Marker/1 - Southern California/CA Section F","Southern California Mile Marker",c(-118.132712833495, 35.5354175783738),80.9072611980578
"4","U0vZk3IqEdgEIQa8SU0y","StreetRubbishPhotos/U0vZk3IqEdgEIQa8SU0y.jpg","35.4535336901596","-118.306408828352","wTc049M3KXDmvaYj9EMW","macygustavus","paper",1684075213.06561,"Weldon","1",2023-05-14 14:40:13,2023-05-14,-118.3150027,35.4513453000001,3711,610,"CA Section F Mile Marker","Mile Marker/1 - Southern California/CA Section F","Southern California Mile Marker",c(-118.306408828352, 35.4535336901596),815.573985863656
"5","7JzVOEwx2iwHnZMgusjq","StreetRubbishPhotos/7JzVOEwx2iwHnZMgusjq.jpg","35.3590963406156","-118.299624418929","wmi3uaG0rSvzE1qYeh4x","macygustavus","metal",1683993632.92644,"Caliente","1",2023-05-13 16:00:32,2023-05-13,-118.29716625,35.3569251500001,2846,600,"CA Section F Mile Marker","Mile Marker/1 - Southern California/CA Section F","Southern California Mile Marker",c(-118.299624418929, 35.3590963406156),328.602704058898
"6","9JFjOrHydj9sUKBVpLst","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F9JFjOrHydj9sUKBVpLst.jpg?alt=media&token=bf162702-d1ae-4289-8441-a81badd084b6","35.1156121804015","-118.264582504127","Bk14VeL7T2l9frxR5KJ5","notracetrails","glass",1683846143.83177,"Tehachapi","1",2023-05-11 23:02:23,2023-05-11,-118.2622085,35.1148874,2915,570,"CA Section F Mile Marker","Mile Marker/1 - Southern California/CA Section F","Southern California Mile Marker",c(-118.264582504127, 35.1156121804015),230.482224805648
"7","NTOlhME4gd5WysyOXfTf","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FNTOlhME4gd5WysyOXfTf.jpg?alt=media&token=8a2be349-38df-4895-8cfb-21061fca09cc","35.1151584204605","-118.263498517193","Bk14VeL7T2l9frxR5KJ5","notracetrails","sanitary waste",1683845904.29841,"Tehachapi","1",2023-05-11 22:58:24,2023-05-11,-118.2622085,35.1148874,2915,570,"CA Section F Mile Marker","Mile Marker/1 - Southern California/CA Section F","Southern California Mile Marker",c(-118.263498517193, 35.1151584204605),121.144911191841
"8","iBOSbr27uMS05Phokhvb","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FiBOSbr27uMS05Phokhvb.jpg?alt=media&token=423833b7-a668-4946-85a6-1538fc5efe96","35.0672794173893","-118.346856027233","rzGGS8EPe5rsX6x2Im8j","notracetrails","wood",1683828718.52492,"Mojave","1",2023-05-11 18:11:58,2023-05-11,-118.3469024,35.0661242,2945,560,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.346856027233, 35.0672794173893),128.523828479874
"9","ZE4CEDCIo1uVKEg8HnC3","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FZE4CEDCIo1uVKEg8HnC3.jpg?alt=media&token=4b5ec420-0023-4620-a3a3-b6d94514ce39","35.0672546691633","-118.346912792498","rzGGS8EPe5rsX6x2Im8j","notracetrails","wood",1683828681.78304,"Mojave","8",2023-05-11 18:11:21,2023-05-11,-118.3469024,35.0661242,2945,560,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.346912792498, 35.0672546691633),125.706191359822
"10","dvQCkP9Mqkn2HYNCyjMI","https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdvQCkP9Mqkn2HYNCyjMI.jpg?alt=media&token=6902070f-cdbf-4e6e-8c0d-24ee8d3fcfb5","35.0672604760704","-118.346912996903","rzGGS8EPe5rsX6x2Im8j","notracetrails","food",1683828661.41195,"Mojave","1",2023-05-11 18:11:01,2023-05-11,-118.3469024,35.0661242,2945,560,"CA Section E Mile Marker","Mile Marker/1 - Southern California/CA Section E","Southern California Mile Marker",c(-118.346912996903, 35.0672604760704),126.352013425734
